date,Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V)
2016-11-14 12:00:00,4.40003967285156,0.901028513908386,1.29445354435376E-09,4.40002679824829,2.25985622406006,1.88408888490699E-09,3.24826908111572
2016-11-14 13:00:00,4.39997577667236,1.00414049625397,1.29445354435376E-09,4.399986743927,2.29061508178711,1.88408888490699E-09,3.21736145019531
2016-11-14 14:00:00,4.39999389648438,1.09910249710083,1.29445354435376E-09,4.40003156661987,2.31981563568115,1.88408888490699E-09,3.18013572692871
2016-11-14 15:00:00,4.40004920959473,1.18691337108612,1.29445354435376E-09,4.39997434616089,2.34753036499023,1.88408888490699E-09,3.13358116149902
2016-11-14 16:00:00,4.40000343322754,1.26863491535187,1.29445354435376E-09,4.39995813369751,2.37382864952087,1.88408888490699E-09,3.07449626922607
2016-11-14 17:00:00,4.39995384216309,1.34509086608887,1.29445354435376E-09,4.40000009536743,2.39874291419983,1.88408888490699E-09,2.99999618530273
2016-11-14 18:00:00,4.4000244140625,1.41715657711029,1.29445354435376E-09,4.39997720718384,2.42234778404236,1.88408888490699E-09,3.62265682220459
2016-11-14 19:00:00,4.40002059936523,1.48527765274048,1.29445354435376E-09,4.39995718002319,2.44470715522766,1.88408888490699E-09,3.65494728088379
2016-11-14 20:00:00,4.39996433258057,1.5500054359436,1.29445354435376E-09,4.39994382858276,2.44502115249634,1.88408888490699E-09,3.66278553009033
2016-11-14 21:00:00,4.39998531341553,1.61162066459656,1.29445354435376E-09,4.27729749679565,2.44502139091492,1.88408888490699E-09,4.20001602172852
2016-11-14 22:00:00,4.39996242523193,1.67045557498932,1.29445354435376E-09,4.26505327224731,2.44502139091492,1.88408888490699E-09,4.24467754364014
2016-11-14 23:00:00,4.39994716644287,1.72670197486877,1.29445354435376E-09,4.26173639297485,2.44502139091492,1.88408888490699E-09,4.27564334869385
2016-11-15 00:00:00,4.40005207061768,1.78056192398071,1.29445354435376E-09,3.90058279037476,2.44502139091492,0.076068937778473,4.30081176757813
2016-11-15 01:00:00,4.39999389648438,1.83213436603546,1.29445354435376E-09,3.8552041053772,2.44502139091492,0.152126953005791,4.32371330261231
2016-11-15 02:00:00,4.40001773834229,1.88152611255646,1.29445354435376E-09,3.81803464889526,2.44502139091492,0.228200182318687,4.34782409667969
2016-11-15 03:00:00,4.3999547958374,1.92876863479614,1.29445354435376E-09,3.78305292129517,2.44502139091492,0.304270654916763,4.37508964538574
2016-11-15 04:00:00,4.399977684021,1.97423350811005,1.29445354435376E-09,3.7494740486145,2.44502139091492,0.380341053009033,4.40002155303955
2016-11-15 05:00:00,4.40000724792481,2.01776885986328,1.29445354435376E-09,3.71683740615845,2.44502139091492,0.456401318311691,4.40010356903076
2016-11-15 06:00:00,4.39996719360352,2.05942535400391,1.29445354435376E-09,3.68505907058716,2.44502139091492,0.532476961612701,4.39997100830078
2016-11-15 07:00:00,4.40001964569092,2.09930300712585,1.29445354435376E-09,3.65525484085083,2.44502139091492,0.608537316322327,4.40008926391602
